claveU,ID,nroViaje,dive,julianoIni,duration,MaxDepth,julianoMax,AvgDepth,MinDepth,BottomTemp,SurfaceTemp,intervaloEnSuperficie,donde,longi,lati,actuBuceo
ABVM,37201,1,60,309.659300,10.94,48.00,309.661700,35.32,9.00,8.3,10.6,2.45,Pi,-63.359000,-43.724000,x
ABVM,37681,1,540,316.934600,22.03,444.00,316.938100,348.00,10.00,4.0,6.7,4.03,F,-57.394000,-47.466000,x
ABVM,38033,1,892,323.252300,23.04,444.00,323.254800,363.66,6.00,3.8,6.9,3.02,F,-60.875000,-48.006000,x
ABVM,38157,1,1016,325.600600,20.02,444.00,325.603000,371.35,26.00,4.0,7.0,3.46,F,-59.476000,-48.979000,x
ABVM,38161,1,1020,325.666900,23.47,444.00,325.669300,370.05,12.00,3.9,7.1,4.03,F,-59.335000,-48.944000,x
ABVM,38411,1,1270,330.118000,23.33,444.00,330.120400,367.00,14.00,3.9,7.3,3.60,F,-59.287000,-49.020000,x
ABVM,38878,1,1737,339.629100,28.94,444.00,339.631800,369.32,26.00,3.6,8.7,3.46,F,-59.620000,-48.256000,x
ABVM,39374,1,2233,350.034600,27.94,444.00,350.037400,381.36,16.00,3.8,7.6,4.03,F,-59.321000,-48.781000,x
ABVM,40158,1,3017,368.012400,26.93,418.00,368.021100,259.33,12.00,3.8,9.4,46.51,F,-59.997000,-48.232000,x
ABVM,40511,1,3370,376.634900,21.60,444.00,376.637000,379.95,52.00,3.8,9.1,3.89,F,-59.840000,-47.920000,x
ABVM,40530,1,3389,377.075900,28.51,444.00,377.078700,341.18,10.00,3.8,9.3,97.49,F,-60.116000,-48.160000,x
ABVM,40562,1,3421,377.911700,30.96,444.00,377.914100,388.21,18.00,3.5,8.8,4.03,F,-59.584000,-48.495000,x
ABVM,40681,1,3540,380.800200,28.08,444.00,380.802700,383.96,32.00,3.7,9.1,3.46,F,-59.487000,-48.328000,x
ABVM,40782,1,3641,383.244000,31.97,444.00,383.247100,381.87,10.00,3.8,8.9,4.46,F,-59.464000,-48.480000,x
ABVM,40820,1,3679,384.049500,26.50,402.00,384.057500,261.19,12.00,4.0,9.4,114.05,F,-59.766000,-48.589000,x
ABVM,40864,1,3723,385.118300,30.96,444.00,385.121100,399.24,6.00,3.8,8.6,4.03,F,-59.908000,-48.414000,x
ABVM,40987,1,3846,388.089800,39.46,444.00,388.092300,406.41,20.00,3.8,9.5,3.60,F,-60.210000,-48.090000,x
ABVM,41181,1,4040,392.655800,20.45,246.00,392.657500,217.37,12.00,4.7,11.5,3.02,F,-60.911000,-48.128000,x
ABVM,41223,1,4082,393.575200,21.02,224.00,393.578400,195.25,24.00,4.8,10.1,3.02,F,-61.125000,-48.275000,x
ABVM,41272,1,4131,394.566900,21.46,210.00,394.568300,193.80,4.00,4.8,10.2,4.03,F,-61.538000,-48.344000,x
ABVM,41327,1,4186,395.783600,20.45,194.00,395.785600,169.30,16.00,4.8,10.0,3.46,Po,-61.505000,-48.314000,x
ABVM,41354,1,4213,396.257900,23.90,184.00,396.267200,166.02,16.00,4.6,9.6,3.02,Po,-61.338000,-48.269000,x
