fecha,anio,mes,categoria,total
1990-08-22,1990,8,JUVE,204
1990-08-22,1990,8,PRAD,9867
1990-08-22,1990,8,S4AD,418
1990-08-22,1990,8,SA13,774
1990-08-22,1990,8,YEAR,111
1990-09-03,1990,9,CRIA,6827
1990-09-05,1990,9,CMUE,59
1990-09-07,1990,9,SAAD,664
1990-09-12,1990,9,SA03,3
1990-09-16,1990,9,DEST,1573
1990-12-31,1990,12,HARE,18
1991-09-04,1991,9,CMUE,224
1991-09-04,1991,9,CRIA,9411
1991-09-04,1991,9,HARE,152
1991-09-04,1991,9,JUVE,295
1991-09-04,1991,9,PRAD,12337
1991-09-04,1991,9,S4AD,553
1991-09-04,1991,9,SA23,788
1991-09-04,1991,9,SAAD,940
1991-09-04,1991,9,SA13,4
1991-09-20,1991,9,DEST,3475
1991-09-22,1991,9,SA01,27
1991-10-10,1991,10,SA03,1
1991-10-24,1991,10,YEAR,63
1992-08-31,1992,8,PRAD,11848
1992-08-31,1992,8,CRIA,8456
1992-08-31,1992,8,S4AD,914
1992-08-31,1992,8,JUVE,289
1992-08-31,1992,8,SAAD,813
1992-08-31,1992,8,SA13,942
1992-09-05,1992,9,HARE,162
1992-09-09,1992,9,CMUE,262
1992-09-10,1992,9,SA03,2
1992-09-20,1992,9,DEST,3600
1992-10-11,1992,10,SA12,8
1993-08-22,1993,8,CRIA,2254
1993-08-22,1993,8,HARE,140
1993-08-22,1993,8,PRAD,3243
1993-08-22,1993,8,S4AD,411
1993-08-22,1993,8,SA03,335
1993-08-22,1993,8,SA12,569
1993-08-22,1993,8,YEJU,585
1993-09-16,1993,9,DEST,2197
1993-09-29,1993,9,CMUE,43
1994-09-02,1994,9,CRIA,3930
1994-09-02,1994,9,HARE,176
1994-09-02,1994,9,JUVE,183
1994-09-02,1994,9,PRAD,5537
1994-09-02,1994,9,S4AD,591
1994-09-02,1994,9,SA13,57
1994-09-07,1994,9,CMUE,12
1994-09-07,1994,9,SA03,542
1994-09-07,1994,9,SA12,388
1994-09-12,1994,9,DEST,2088
1995-09-01,1995,9,CRIA,19459
1995-09-01,1995,9,JUGR,5129
1995-09-01,1995,9,PRAD,23341
1995-09-01,1995,9,S4AD,2187
1995-09-01,1995,9,SA13,2865
1995-09-06,1995,9,CMUE,192
1995-09-06,1995,9,HARE,95
1995-09-06,1995,9,JUCH,1227
1995-09-06,1995,9,SA01,79
1995-09-06,1995,9,SA03,355
1995-09-06,1995,9,SA02,340
1995-09-20,1995,9,DEST,8396
1995-09-27,1995,9,SA12,1
1995-10-01,1995,10,JUVE,41
1996-01-01,1996,1,JUGR,7319
1996-01-01,1996,1,PRAD,29377
1996-01-01,1996,1,SA13,3204
1996-01-01,1996,1,JUCH,5317
1996-02-01,1996,2,S4AD,2142
