ID animal,fechahora,n registro,lat,lon
BUC10,16-Dec-05 10:35:21,288,-43.994,-63.241
BUC10,16-Dec-05 16:18:21,318,-44.087,-63.058
BUC10,16-Dec-05 17:29:21,327,-44.082,-63.085
BUC10,16-Dec-05 19:47:21,340,-44.207,-63.011
BUC10,03-Jan-06 09:02:21,1745,-46.019,-62.341
BUC10,03-Jan-06 10:22:21,1752,-46.05,-62.404
BUC10,03-Jan-06 16:41:21,1788,-46.068,-62.228
BUC10,06-Jan-06 09:15:21,2001,-46.089,-62.159
BUC10,06-Jan-06 12:36:21,2019,-46.097,-62.109
BUC10,06-Jan-06 14:27:21,2030,-46.088,-62.165
BUC10,06-Jan-06 17:50:21,2049,-46.124,-62.14
BUC10,24-Jan-06 00:57:21,3271,-46.469,-60.571
BUC10,24-Jan-06 02:26:21,3271,-46.456,-60.545
BUC10,24-Jan-06 04:17:21,3271,-46.456,-60.569
BUC10,24-Jan-06 06:34:21,3272,-46.46,-60.51
BUC10,24-Jan-06 14:53:21,3311,-46.37,-60.753
BUC10,24-Jan-06 17:56:21,3327,-46.466,-60.591
BUC10,24-Jan-06 19:39:21,3336,-46.474,-60.559
BUC10,11-Feb-06 00:45:21,4373,-46.348,-60.353
BUC10,11-Feb-06 02:43:21,4373,-46.347,-60.389
BUC10,11-Feb-06 05:13:21,4373,-46.357,-60.489
BUC10,11-Feb-06 14:57:21,4410,-46.293,-60.579
BUC10,25-Feb-06 23:19:21,5098,-43.11,-64.599
BUC10,03-May-06 15:52:20,7065,-43.13,-55.831
BUC10,06-May-06 05:19:20,7109,-43.997,-56.086
FAR11,17-Dec-05 07:18:17,215,-42.327,-63.227
FAR11,17-Dec-05 09:15:17,229,-42.419,-63.081
FAR11,17-Dec-05 15:26:17,289,-42.633,-63.036
FAR11,17-Dec-05 17:53:17,315,-42.769,-62.989
FAR11,17-Dec-05 19:13:17,332,-42.801,-62.908
FAR11,18-Dec-05 21:56:17,469,-43.741,-62.304
FAR11,18-Dec-05 23:37:17,469,-43.745,-62.266
FAR11,19-Dec-05 04:27:17,469,-43.864,-62.214
FAR11,19-Dec-05 06:29:17,477,-43.942,-62.166
FAR11,19-Dec-05 09:22:17,498,-43.98,-62.193
